#{'lvSESlope': 3.7370482459664345e-05, 'vRegAtCal': 0.0, 'vRefAtCAl': 2.4660134811419994, 'hvAIN0Slope': 0.0003164820373058319, 'hvAIN0Offset': -10.411410956876352, 'hvAIN1Slope': 0.00031653535552322865, 'hvAIN2Offset': -10.396444640122354, 'vRef1.5AtCal': 0.0, 'hvAIN1Offset': -10.415141417877749, 'lvDiffOffset': -2.4679846067447215, 'lvDiffSlope': 7.501477375626564e-05, 'hvAIN2Slope': 0.00031684059649705887, 'dac0Slope': 51.33597923326306, 'lvSEOffset': 0.00492528616450727, 'tempSlope': 0.012760764686390758, 'dac1Slope': 51.35622544004582, 'hvAIN3Offset': -10.401332701789215, 'hvAIN3Slope': 0.0003165462985634804, 'dac1Offset': -0.5502523693721741, 'dac0Offset': -0.6461485649924725}
time	port	description
2018-03-22 18:25:34.640975	4	avoidance_onset
2018-03-22 18:25:36.974417	6	aversive_sound
2018-03-22 18:25:53.174229	4	avoidance_onset
2018-03-22 18:25:54.946519	5	first_contact
2018-03-22 18:25:54.947004	7	target_frozen
2018-03-22 18:26:11.707401	4	avoidance_onset
2018-03-22 18:26:12.691186	5	first_contact
2018-03-22 18:26:12.692022	7	target_frozen
2018-03-22 18:26:30.234545	4	avoidance_onset
2018-03-22 18:26:32.656909	6	aversive_sound
2018-03-22 18:26:48.748841	4	avoidance_onset
2018-03-22 18:26:51.273719	6	aversive_sound
2018-03-22 18:27:07.273235	4	avoidance_onset
2018-03-22 18:27:08.497494	5	first_contact
2018-03-22 18:27:08.498043	7	target_frozen
2018-03-22 18:27:25.811629	4	avoidance_onset
2018-03-22 18:27:27.495384	5	first_contact
2018-03-22 18:27:27.495961	7	target_frozen
2018-03-22 18:27:44.343004	4	avoidance_onset
2018-03-22 18:27:44.964213	5	first_contact
2018-03-22 18:27:44.964520	7	target_frozen
2018-03-22 18:28:02.874122	4	avoidance_onset
2018-03-22 18:28:04.179326	5	first_contact
2018-03-22 18:28:04.180086	7	target_frozen
2018-03-22 18:28:21.405606	4	avoidance_onset
2018-03-22 18:28:23.739502	6	aversive_sound
2018-03-22 18:28:39.938996	4	avoidance_onset
2018-03-22 18:28:41.210303	5	first_contact
2018-03-22 18:28:41.210743	7	target_frozen
2018-03-22 18:28:58.471962	4	avoidance_onset
2018-03-22 18:29:00.839354	6	aversive_sound
2018-03-22 18:29:17.009950	4	avoidance_onset
2018-03-22 18:29:17.526479	5	first_contact
2018-03-22 18:29:17.526967	7	target_frozen
2018-03-22 18:29:35.538337	4	avoidance_onset
2018-03-22 18:29:36.335085	5	first_contact
2018-03-22 18:29:36.335670	7	target_frozen
2018-03-22 18:29:54.061654	4	avoidance_onset
2018-03-22 18:29:56.478663	6	aversive_sound
2018-03-22 18:31:52.386766	4	avoidance_onset
2018-03-22 18:31:53.072752	5	first_contact
2018-03-22 18:31:53.073410	7	target_frozen
2018-03-22 18:32:10.919579	4	avoidance_onset
2018-03-22 18:32:13.337529	6	aversive_sound
2018-03-22 18:32:29.452851	4	avoidance_onset
2018-03-22 18:32:30.074626	5	first_contact
2018-03-22 18:32:30.075224	7	target_frozen
2018-03-22 18:32:47.985791	4	avoidance_onset
2018-03-22 18:32:48.252773	5	first_contact
2018-03-22 18:32:48.253427	7	target_frozen
2018-03-22 18:33:06.507585	4	avoidance_onset
2018-03-22 18:33:07.861703	5	first_contact
2018-03-22 18:33:07.862074	7	target_frozen
2018-03-22 18:33:25.037926	4	avoidance_onset
2018-03-22 18:33:25.577043	5	first_contact
2018-03-22 18:33:25.577741	7	target_frozen
2018-03-22 18:33:43.569262	4	avoidance_onset
2018-03-22 18:33:44.943431	5	first_contact
2018-03-22 18:33:44.944473	7	target_frozen
2018-03-22 18:34:02.101427	4	avoidance_onset
2018-03-22 18:34:04.417511	6	aversive_sound
2018-03-22 18:34:20.634659	4	avoidance_onset
2018-03-22 18:34:21.341737	5	first_contact
2018-03-22 18:34:21.342752	7	target_frozen
2018-03-22 18:34:39.167473	4	avoidance_onset
2018-03-22 18:34:40.208323	5	first_contact
2018-03-22 18:34:40.208796	7	target_frozen
2018-03-22 18:34:57.700759	4	avoidance_onset
2018-03-22 18:34:59.418297	5	first_contact
2018-03-22 18:34:59.418797	7	target_frozen
2018-03-22 18:35:16.226398	4	avoidance_onset
2018-03-22 18:35:16.922914	5	first_contact
2018-03-22 18:35:16.923439	7	target_frozen
2018-03-22 18:35:34.757490	4	avoidance_onset
2018-03-22 18:35:35.899075	5	first_contact
2018-03-22 18:35:35.899532	7	target_frozen
2018-03-22 18:35:53.288907	4	avoidance_onset
2018-03-22 18:35:54.188840	5	first_contact
2018-03-22 18:35:54.189299	7	target_frozen
2018-03-22 18:36:11.819982	4	avoidance_onset
2018-03-22 18:36:13.859037	5	first_contact
2018-03-22 18:36:13.859635	7	target_frozen
