#{'lvSESlope': 3.7370482459664345e-05, 'vRegAtCal': 0.0, 'vRefAtCAl': 2.4660134811419994, 'hvAIN0Slope': 0.0003164820373058319, 'hvAIN0Offset': -10.411410956876352, 'hvAIN1Slope': 0.00031653535552322865, 'hvAIN2Offset': -10.396444640122354, 'vRef1.5AtCal': 0.0, 'hvAIN1Offset': -10.415141417877749, 'lvDiffOffset': -2.4679846067447215, 'lvDiffSlope': 7.501477375626564e-05, 'hvAIN2Slope': 0.00031684059649705887, 'dac0Slope': 51.33597923326306, 'lvSEOffset': 0.00492528616450727, 'tempSlope': 0.012760764686390758, 'dac1Slope': 51.35622544004582, 'hvAIN3Offset': -10.401332701789215, 'hvAIN3Slope': 0.0003165462985634804, 'dac1Offset': -0.5502523693721741, 'dac0Offset': -0.6461485649924725}
time	port	description
2018-03-22 18:53:52.489905	4	avoidance_onset
2018-03-22 18:53:55.774772	6	aversive_sound
2018-03-22 18:54:11.027374	4	avoidance_onset
2018-03-22 18:54:13.061586	5	first_contact
2018-03-22 18:54:14.427448	6	aversive_sound
2018-03-22 18:54:29.563472	4	avoidance_onset
2018-03-22 18:54:32.396226	5	first_contact
2018-03-22 18:54:32.978069	6	aversive_sound
2018-03-22 18:54:48.086989	4	avoidance_onset
2018-03-22 18:54:48.246179	5	first_contact
2018-03-22 18:54:50.420805	6	aversive_sound
2018-03-22 18:55:06.618425	4	avoidance_onset
2018-03-22 18:55:07.635498	5	first_contact
2018-03-22 18:55:10.101389	6	aversive_sound
2018-03-22 18:55:25.149817	4	avoidance_onset
2018-03-22 18:55:27.655151	5	first_contact
2018-03-22 18:55:28.550102	6	aversive_sound
2018-03-22 18:55:43.682133	4	avoidance_onset
2018-03-22 18:55:46.568530	5	first_contact
2018-03-22 18:55:47.031145	6	aversive_sound
2018-03-22 18:56:02.212079	4	avoidance_onset
2018-03-22 18:56:04.812073	6	aversive_sound
2018-03-22 18:56:20.744717	4	avoidance_onset
2018-03-22 18:56:23.744453	5	first_contact
2018-03-22 18:56:24.060979	6	aversive_sound
2018-03-22 18:56:39.277121	4	avoidance_onset
2018-03-22 18:56:40.533142	5	first_contact
2018-03-22 18:56:41.477938	6	aversive_sound
2018-03-22 18:56:57.809932	4	avoidance_onset
2018-03-22 18:57:00.094701	6	aversive_sound
2018-03-22 18:57:16.343921	4	avoidance_onset
2018-03-22 18:57:18.963941	5	first_contact
2018-03-22 18:57:19.244571	6	aversive_sound
2018-03-22 18:57:34.892848	4	avoidance_onset
2018-03-22 18:57:36.844652	6	aversive_sound
2018-03-22 18:57:53.415765	4	avoidance_onset
2018-03-22 18:57:55.880380	6	aversive_sound
2018-03-22 18:58:11.981050	4	avoidance_onset
2018-03-22 18:58:13.636352	5	first_contact
2018-03-22 18:58:14.717858	6	aversive_sound
2018-03-22 19:00:06.592112	4	avoidance_onset
2018-03-22 19:00:08.375546	5	first_contact
2018-03-22 19:00:10.175254	6	aversive_sound
2018-03-22 19:00:25.116048	4	avoidance_onset
2018-03-22 19:00:28.039351	5	first_contact
2018-03-22 19:00:28.608274	6	aversive_sound
2018-03-22 19:00:43.664339	4	avoidance_onset
2018-03-22 19:00:45.743568	5	first_contact
2018-03-22 19:00:46.530627	6	aversive_sound
2018-03-22 19:01:02.195638	4	avoidance_onset
2018-03-22 19:01:02.625534	5	first_contact
2018-03-22 19:01:05.646741	6	aversive_sound
2018-03-22 19:01:20.726779	4	avoidance_onset
2018-03-22 19:01:21.582937	5	first_contact
2018-03-22 19:01:24.109353	6	aversive_sound
2018-03-22 19:01:39.258007	4	avoidance_onset
2018-03-22 19:01:41.396422	5	first_contact
2018-03-22 19:01:41.474367	6	aversive_sound
2018-03-22 19:01:57.790214	4	avoidance_onset
2018-03-22 19:02:00.439535	6	aversive_sound
2018-03-22 19:02:16.322407	4	avoidance_onset
2018-03-22 19:02:16.880422	5	first_contact
2018-03-22 19:02:18.273656	6	aversive_sound
2018-03-22 19:02:34.872652	4	avoidance_onset
2018-03-22 19:02:36.907083	5	first_contact
2018-03-22 19:02:38.273972	6	aversive_sound
2018-03-22 19:02:53.405555	4	avoidance_onset
2018-03-22 19:02:56.939080	6	aversive_sound
2018-03-22 19:03:11.939447	4	avoidance_onset
2018-03-22 19:03:14.981420	6	aversive_sound
2018-03-22 19:03:30.461974	4	avoidance_onset
2018-03-22 19:03:33.029447	5	first_contact
2018-03-22 19:03:34.012014	6	aversive_sound
2018-03-22 19:03:48.994461	4	avoidance_onset
2018-03-22 19:03:51.078178	5	first_contact
2018-03-22 19:03:52.463242	6	aversive_sound
2018-03-22 19:04:07.524846	4	avoidance_onset
2018-03-22 19:04:09.012197	5	first_contact
2018-03-22 19:04:10.943874	6	aversive_sound
2018-03-22 19:04:26.056226	4	avoidance_onset
2018-03-22 19:04:28.022632	6	aversive_sound
