Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
  1	 1	0.7285	1.8413	0.0326	6.5131	2.2851	28.6607	 1	2.8085	1.4272	30.2627	1.3389	  4	"4"
  2	 2	1.3995	4.5796	0.0434	8.6824	2.3630	28.9169	 1	2.1995	0.2376	31.0968	0.7757	  6	"6"
  3	 2	1.6925	2.6653	0.0249	4.9839	1.5553	28.5621	 1	2.3125	0.4759	29.7487	1.1280	  4	"4"
  4	 2	0.5855	2.6653	0.0272	5.4486	1.5553	28.5888	 1	1.2055	0.4759	29.9411	0.5038	  5	"5"
  5	 1	0.5265	1.5381	0.0221	4.4294	1.5553	28.6471	 0	   NaN	0.0000	29.8177	0.0249	  6	"6"
  6	 0	   NaN	0.0000	0.0080	1.6016	0.5821	28.1223	 1	3.6185	0.5499	28.5215	0.2532	  4	"4"
  7	 1	3.1905	0.7048	0.0115	2.3017	0.7147	28.2228	 1	0.7105	0.5499	28.7855	0.5501	  5	"5"
  8	 1	2.8735	0.7048	0.0118	2.3501	0.7147	28.2387	 0	   NaN	0.0000	28.8183	0.5450	  6	"6"
  9	 0	   NaN	0.0000	0.0075	1.4998	1.0054	29.1613	 1	2.5845	0.9493	29.5147	0.9308	  4	"4"
 10	 1	4.1265	0.9830	0.0087	1.7335	1.0064	29.1612	 1	2.1665	0.9493	29.5606	0.9493	  5	"5"
 11	 1	2.2875	0.9830	0.0139	2.7709	1.0064	29.1154	 0	   NaN	0.0000	29.7823	0.9263	  6	"6"
 12	 1	0.6515	0.4140	0.0040	0.7944	0.4266	28.5287	 1	4.2315	0.4638	28.7456	0.0253	  4	"4"
 13	 0	   NaN	0.0000	0.0036	0.7201	0.4148	28.5228	 1	3.8415	0.4638	28.7126	0.1618	  5	"5"
 14	 1	2.7015	0.5493	0.0072	1.4498	0.5632	28.4493	 1	1.0215	0.4638	28.7927	0.4638	  6	"6"
 15	 0	   NaN	0.0000	0.0011	0.2229	0.2142	28.3205	 2	2.4955	1.1005	28.3906	0.0737	  4	"4"
 16	 1	3.6655	1.0493	0.0106	2.1141	1.0682	28.3830	 1	1.2055	1.0398	28.8531	1.0521	  5	"5"
 17	 1	3.5665	1.0493	0.0110	2.2038	1.0682	28.3832	 1	1.1065	1.0398	28.8772	1.0521	  6	"6"
 18	 1	2.7435	0.4764	0.0066	1.3258	0.5955	28.1525	 2	0.9635	1.2945	28.4523	0.4762	  4	"4"
 19	 1	2.5365	1.2034	0.0180	3.6052	1.2246	28.1423	 1	0.9165	0.8186	29.0216	0.8186	  6	"6"
 20	 1	4.3695	0.2018	0.0016	0.3226	0.2128	27.9712	 1	2.9295	0.1942	28.0440	0.1943	  4	"4"
 21	 1	3.4445	0.2018	0.0026	0.5113	0.4127	27.9653	 2	2.0045	0.8424	28.0744	0.2880	  5	"5"
 22	 1	1.7785	0.2018	0.0086	1.7145	0.8784	27.9547	 1	2.3785	0.6482	28.3314	0.8183	  6	"6"
 23	 0	   NaN	0.0000	0.0000	0.0000	0.0101	27.7871	 0	   NaN	0.0000	27.7795	0.0005	  4	"4"
 24	 2	2.5455	0.1489	0.0010	0.2082	0.0833	27.6873	 0	   NaN	0.0000	27.7346	0.0376	  6	"6"
 25	 0	   NaN	0.0000	0.0038	0.7639	0.9560	27.6733	 1	2.5605	1.2214	27.8168	0.9351	  4	"4"
 26	 1	2.9985	1.0327	0.0130	2.5943	1.0530	27.7844	 1	0.5385	1.2214	28.3915	1.2216	  5	"5"
 27	 1	2.8825	1.0327	0.0133	2.6559	1.0530	27.7916	 0	   NaN	0.0000	28.4162	1.2207	  6	"6"
 28	 1	3.6455	0.0822	0.0011	0.2209	0.0994	28.1362	 1	2.5855	0.0489	28.1937	0.0612	  4	"4"
 29	 1	1.6545	0.0822	0.0013	0.2536	0.3554	28.0950	 2	0.5945	1.1364	28.1432	0.1464	  5	"5"
 30	 1	1.4915	0.0822	0.0016	0.3225	0.5198	28.0910	 1	3.8515	1.0875	28.1484	0.2743	  6	"6"
 31	 1	3.3735	0.0474	0.0011	0.2217	0.1007	27.7785	 0	   NaN	0.0000	27.8387	0.0007	  4	"4"
 32	 1	0.7995	0.0474	0.0022	0.4398	0.4754	27.7740	 1	3.0795	0.5013	27.8598	0.4307	  6	"6"
 33	 0	   NaN	0.0000	0.0072	1.4362	0.9615	27.8888	 1	3.1195	0.8669	28.2146	0.7161	  4	"4"
 34	 1	3.0865	1.0027	0.0132	2.6498	1.0198	27.9070	 1	1.2465	0.8669	28.5356	0.8669	  6	"6"
 35	 1	2.8855	0.2437	0.0030	0.6013	0.2508	27.8448	 1	1.4455	0.2449	27.9841	0.2449	  4	"4"
 36	 2	0.7275	0.8987	0.0071	1.4104	0.6661	27.8519	 1	2.7075	0.4643	28.1776	0.4646	  6	"6"
 37	 1	3.5515	0.1704	0.0032	0.6330	0.2517	28.3402	 0	   NaN	0.0000	28.5037	0.0243	  4	"4"
 38	 2	1.4625	0.4311	0.0041	0.8152	0.2647	28.2567	 0	   NaN	0.0000	28.4515	0.0254	  5	"5"
 39	 2	0.9775	0.4311	0.0043	0.8563	0.2647	28.2365	 0	   NaN	0.0000	28.4456	0.0254	  6	"6"
 40	 2	1.0785	0.9881	0.0091	1.8119	0.5881	28.1329	 1	2.3385	0.3374	28.5736	0.4128	  4	"4"
 41	 0	   NaN	0.0000	0.0084	1.6843	1.5408	28.2861	 1	3.3115	2.3575	28.6633	1.2084	  6	"6"
 42	 1	2.5835	0.4290	0.0057	1.1329	0.4392	28.4653	 1	1.0035	0.3788	28.7395	0.3792	  4	"4"
 43	 1	2.7375	0.4087	0.0063	1.2523	0.4174	28.4640	 1	1.5775	0.2186	28.7828	0.2187	  6	"6"
 44	 1	3.4855	0.0531	0.0020	0.4025	0.2189	28.3136	 0	   NaN	0.0000	28.4265	0.0004	  4	"4"
 45	 2	1.4485	0.2700	0.0021	0.4138	0.2234	28.3089	 1	2.5885	0.1953	28.4046	0.1958	  5	"5"
 46	 2	0.8825	0.2700	0.0024	0.4867	0.2234	28.3098	 1	2.0225	0.1953	28.4238	0.1958	  6	"6"
 47	 0	   NaN	0.0000	0.0074	1.4832	0.9995	28.6059	 0	   NaN	0.0000	29.0410	0.0000	  4	"4"
 48	 0	   NaN	0.0000	0.0056	1.1128	0.7992	28.6156	 0	   NaN	0.0000	28.9478	0.0000	  5	"5"
 49	 0	   NaN	0.0000	0.0057	1.1328	0.7114	28.6278	 1	1.9065	0.7416	28.8776	0.5775	  6	"6"
 50	 0	   NaN	0.0000	0.0028	0.5594	0.4163	28.3009	 1	2.7615	0.4402	28.4252	0.3306	  4	"4"
 51	 1	2.5505	0.4747	0.0073	1.4597	0.4841	28.2849	 0	   NaN	0.0000	28.6356	0.4029	  5	"5"
 52	 1	1.9165	0.4747	0.0076	1.5234	0.4841	28.2773	 1	4.3965	0.1349	28.6529	0.2491	  6	"6"
 53	 0	   NaN	0.0000	0.0025	0.5094	0.3374	28.0254	 1	2.8485	0.4404	28.1469	0.3814	  4	"4"
 54	 1	2.4905	0.3300	0.0039	0.7743	0.3414	28.1516	 1	0.6905	0.4404	28.3428	0.4407	  6	"6"
 55	 1	1.4545	0.1278	0.0016	0.3109	0.1327	28.8564	 0	   NaN	0.0000	28.9328	0.0127	  4	"4"
 56	 0	   NaN	0.0000	0.0022	0.4393	0.1968	28.5971	 0	   NaN	0.0000	28.6960	0.0000	  6	"6"
 57	 1	2.1005	0.0812	0.0021	0.4166	0.1893	27.9869	 1	3.3405	0.1098	28.0866	0.0965	  4	"4"
 58	 1	2.9445	0.1927	0.0029	0.5754	0.1953	27.9762	 1	1.4845	0.1098	28.1160	0.1102	  6	"6"
 59	 1	0.7665	0.0319	0.0012	0.2317	0.4707	27.8804	 1	3.4065	0.9906	27.9176	0.3123	  4	"4"
 60	 1	3.0755	0.9362	0.0121	2.4162	0.9508	27.9131	 1	0.6955	0.9906	28.4734	0.9906	  5	"5"
 61	 1	2.5415	0.9362	0.0137	2.7372	0.9508	27.9230	 0	   NaN	0.0000	28.5703	0.9798	  6	"6"
 62	 1	3.2125	0.2087	0.0042	0.8361	0.2403	27.8784	 0	   NaN	0.0000	28.0915	0.0007	  4	"4"
 63	 1	3.0295	0.1412	0.0029	0.5868	0.2004	27.8648	 0	   NaN	0.0000	28.0174	0.0007	  6	"6"
 64	 0	   NaN	0.0000	0.0056	1.1101	0.6685	28.1526	 0	   NaN	0.0000	28.4728	0.0000	  4	"4"
 65	 1	4.1075	0.0411	0.0009	0.1756	0.1553	28.2009	 0	   NaN	0.0000	28.2535	0.0008	  6	"6"
 66	 1	3.6455	0.8705	0.0093	1.8686	0.8859	27.8695	 1	1.5055	0.8438	28.2899	0.8438	  4	"4"
 67	 2	0.8835	1.7244	0.0164	3.2822	0.8859	27.8745	 1	2.3235	0.1220	28.6969	0.1220	  5	"5"
 68	 1	2.9045	0.8539	0.0159	3.1801	0.8836	27.8748	 1	1.8245	0.1220	28.6829	0.1220	  6	"6"
 69	 0	   NaN	0.0000	0.0003	0.0637	0.0534	27.8686	 1	4.4715	0.3914	27.8879	0.0248	  4	"4"
 70	 1	3.2955	0.3518	0.0039	0.7890	0.3600	27.9135	 1	1.4955	0.3914	28.0932	0.3917	  5	"5"
 71	 1	3.0435	0.3518	0.0043	0.8693	0.3963	27.9176	 2	1.2435	1.5903	28.1140	0.3917	  6	"6"
 72	 1	0.8565	0.4905	0.0067	1.3329	0.5006	28.2737	 0	   NaN	0.0000	28.6198	0.0367	  4	"4"
 73	 1	4.1255	0.2218	0.0044	0.8888	0.2508	28.1326	 0	   NaN	0.0000	28.3562	0.0000	  5	"5"
 74	 1	3.4745	0.2218	0.0044	0.8749	0.2292	28.0969	 0	   NaN	0.0000	28.3157	0.0001	  6	"6"
 75	 1	2.8825	0.1040	0.0026	0.5194	0.2035	27.9552	 0	   NaN	0.0000	28.0900	0.0005	  4	"4"
 76	 1	1.0265	0.1040	0.0028	0.5560	0.1841	27.8970	 0	   NaN	0.0000	28.0313	0.0009	  6	"6"
